"Type","Gender","Decl.","Lunasi","Meaning",,,,,,,
"N","N","3","tosveno","original",,,,,,,
"V","T","X","surte","drink",,,,,,,
"N","N","3","ute","the four rules",,,,,,,
"V","","X","utel","to calculate",,,,,,,
"A","","X","utelcin","innumerable",,,,,,,
"N","N","3","utema","arithmetic",,,,,,,
"V","","X","cutene","to compute",,,,,,,
"V","T","X","vaikice","respect",,,,,,,
"N","N","3","vala","power",,,,,,,
"N","N","4","valner","green",,,,,,,
"A","","X","vari(cin)","(in)definite",,,,,,,
"N","F","1","varse","sky",,,,,,,
"N","A","","valsérci","blue",,,,,,,
"N","","X","vec","that",,,,,,,
"A","","X","vecéci","sad",,,,,,,
"N","N","4","vecpir","there",,,,,,,
"N","N","4","venáser","rights",,,,,,,
"N","N","3","ventere","belly (lower part of body, abdomen)",,,,,,,
"A","","X","vesci","young",,,,,,,
"C","","X","vié","please",,,,,,,
"N","N","4","vir","bee",,,,,,,
"V","T","X","vise","see (verb)",,,,,,,
"N","N","4","vit","surface",,,,,,,
"N","N","3","voe","ear",,,,,,,
"N","N","3","vofa","growth",,,,,,,
"V","T","X","vofe","to grow (transitive)",,,,,,,
"N","N","4","vul","tail",,,,,,,
"","","","","",,,,,,,
"N","N","4","siuspir","place that serves food /
restaurant / 
canteen",,,,,,,
"N","F","1","pasva","words / speech / language",,,,,,,
"V","T","","paseve","speak",,,,,,,
"","","","","",,,,,,,
"N","N","4","vivat","room",,,,,,,
"N","N","4","paror","door / gate",,,,,,,
"N","N","4","velir","bed",,,,,,,
"N","N","3","forme","table",,,,,,,
"N","N","3","sicéri","chair",,,,,,,
"N","N","4","koronir","clock",,,,,,,
"N","N","4","luspar","window",,,,,,,
"N","F","1","luce","book",,,,,,,
"N","N","3","téscade","pencil",,,,,,,
"N","F","1","tecivi","picture",,,,,,,
"N","F","1","teciluce","picture book (絵本）",,,,,,,
"V","T","","tecive","to draw (an image)",,,,,,,
"","","","","",,,,,,,
"N","F","1","lunasi","Lunasi",,,,,,,
"N","F","1","pasvasa","language",,,,,,,
"","","","","",,,,,,,
"N","N","4","caisét","tea",,,,,,,
"P","","","vié perfevese","I'm sorry",,,,,,,
"","","","","",,,,,,,
"N","F","2","civusir","deer",,,,,,,
"N","F","1","fueivi","owl",,,,,,,
"V","","X","vérte","think",,,,,,,
"N","N","3","sivérta","thoughts / opinions",,,,,,,
"N","N","4","vértas","idea (philosophy)",,,,,,,
"","","","","",,,,,,,
"N","F","2","nevisir","high priestess",,,,,,,
"N","F","2","secir","yorishiro (divine representation)",,,,,,,
"N","F","2","osruseic","advisor to the priestess",,,,,,,
"N","F","2","afieseic","the knowledgable",,,,,,,
"V","T","X","ifelésice","cleanse",,,,,,,
"V","T","X","mirture","corrupt / pollute",,,,,,,
"N","N","4","mirvuc","filth",,,,,,,
"","","","","",,,,,,,
"N","N","4","celvér","roof",,,,,,,
"N","N","3","celrusi","wall",,,,,,,
"N","N","3","celtéra","floor",,,,,,,
"V","","","rubersa","surround",,,,,,,
"","","","","",,,,,,,
"V","T","X","pavaice","answer",,,,,,,
"N","N","3","pavéisa","answer / response",,,,,,,
"","","","","",,,,,,,
"N","N","4","ausever","food",,,,,,,
"N","N","4","férvié","pain (noun)",,,,,,,
"V","","X","férvasa","hurt",,,,,,,
"V","T","X","férvase","hurt (someone)",,,,,,,
"A","","X","férvaci","painful",,,,,,,
"V","T","X","pasdice","greet",,,,,,,
"","","X","","",,,,,,,
"N","F","2","nevipir","shrine",,,,,,,
"C","R","X","séner","left (direction)",,,,,,,
"C","R","X","méner","right (direction)",,,,,,,
"C","R","X","pisvar","up",,,,,,,
"C","R","X","pirver","down",,,,,,,
"N","N","4","lisserié","feeling / sensation",,,,,,,
"N","N","4","démil","fear",,,,,,,
"A","","","démirci","fearful",,,,,,,
"V","T","X","démile","to fear",,,,,,,
"V","T","X","nofoce","to gouge out",,,,,,,
"V","T","X","inoce","to stop",,,,,,,
"V","T","X","alterie","to endure",,,,,,,
"C","","","alle...sa","like... (comparison)",,,,,,,
"","","","sis...ce","speech particle",,,,,,,
"","","","sa ivel","then,",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","I. QUANTITY",,,,,,,
"","","","",#ERROR!,,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","1. Numbers",,,,,,,
"","","","","----------",,,,,,,
"","","","","",,,,,,,
"","","","","Basics:",,,,,,,
"","","","","account",,,,,,,
"","","","","amount",,,,,,,
"","","","","average",,,,,,,
"","","","","difference",,,,,,,
"","","","","division",,,,,,,
"","","","","figure",,,,,,,
"","","","","growth",,,,,,,
"","","","","heap",,,,,,,
"","","","","number",,,,,,,
"","","","","rest",,,,,,,
"","","","","result",,,,,,,
"","","","","sum",,,,,,,
"","","","","variety",,,,,,,
"","","","","zero --",,,,,,,
"","","","","to total -- absolute",,,,,,,
"","","","","all",,,,,,,
"","","","","another",,,,,,,
"","","","","any",,,,,,,
"","","","","different",,,,,,,
"","","","","entire",,,,,,,
"","","","","every",,,,,,,
"","","","","few",,,,,,,
"","","","","final",,,,,,,
"","","","","first",,,,,,,
"","","","","general",,,,,,,
"","","","","half",,,,,,,
"","","","","immense",,,,,,,
"","","","","many",,,,,,,
"","","","","one",,,,,,,
"","","","","quite",,,,,,,
"","","","","second",,,,,,,
"","","","","several",,,,,,,
"","","","","single",,,,,,,
"","","","","some",,,,,,,
"","","","","total -- about",,,,,,,
"","","","","almost",,,,,,,
"","","","","below",,,,,,,
"","","","","frequent",,,,,,,
"","","","","further",,,,,,,
"","","","","once",,,,,,,
"","","","","over",,,,,,,
"","","","","very.",,,,,,,
"","","","","",,,,,,,
"","","","","Additional vocabulary:",,,,,,,
"","","","","the four rules",,,,,,,
"","","","","addition",,,,,,,
"","","","","substraction",,,,,,,
"","","","","multiplication",,,,,,,
"","","","","remainder",,,,,,,
"","","","","fraction",,,,,,,
"","","","","even/odd number",,,,,,,
"","","","","cardinal/ordinal",,,,,,,
"","","","","number",,,,,,,
"","","","","surplus",,,,,,,
"","","","","the multiplication-table problem in",,,,,,,
"","","","","arithmetic",,,,,,,
"","","","","dozen/a score",,,,,,,
"","","","","pile",,,,,,,
"","","","","bulk",,,,,,,
"","","","","to substract",,,,,,,
"","","","","to",,,,,,,
"","","","","multiply",,,,,,,
"","","","","to calculate",,,,,,,
"","","","","to compute",,,,,,,
"","","","","to lessen",,,,,,,
"","","","","to",,,,,,,
"","","","","eliminate",,,,,,,
"","","","","to total up",,,,,,,
"","","","","numerous/countless",,,,,,,
"","","","","innumerable",,,,,,,
"","","","","(in)definite",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","2. Measurements and Weights",,,,,,,
"","","","","---------------------------",,,,,,,
"","","","","",,,,,,,
"","","","","Basics:",,,,,,,
"","","","","date",,,,,,,
"","","","","depth",,,,,,,
"","","","","detail",,,,,,,
"","","","","distance",,,,,,,
"","","","","end",,,,,,,
"","","","","equality",,,,,,,
"","","","","fortune",,,,,,,
"","","","","hour",,,,,,,
"","","","","length",,,,,,,
"","","","","load",,,,,,,
"","","","","measure",,,,,,,
"","","","","mile",,,,,,,
"","","","","minute",,,,,,,
"","","","","month",,,,,,,
"","","","","pair",,,,,,,
"","","","","pause",,,,,,,
"","","","","quarter",,,,,,,
"","","","","surface",,,,,,,
"","","","","year -- to estimate",,,,,,,
"","","","","to thin",,,,,,,
"","","","","to weigh --",,,,,,,
"","","","","deep",,,,,,,
"","","","","distant",,,,,,,
"","","","","equal",,,,,,,
"","","","","even",,,,,,,
"","","","","farther",,,,,,,
"","","","","great",,,,,,,
"","","","","heavy",,,,,,,
"","","","","high",,,,,,,
"","","","","irregular",,,,,,,
"","","","","less",,,,,,,
"","","","","light",,,,,,,
"","","","","long",,,,,,,
"","","","","more",,,,,,,
"","","","","most",,,,,,,
"","","","","much",,,,,,,
"","","","","narrow",,,,,,,
"","","","","near.",,,,,,,
"","","","","",,,,,,,
"","","","","Additional vocabulary:",,,,,,,
"","","","","measure of length",,,,,,,
"","","","","square/cubic/liquid measure",,,,,,,
"","","","","an inch",,,,,,,
"","","","","a",,,,,,,
"","","","","foot",,,,,,,
"","","","","a yard",,,,,,,
"","","","","a sqare inch",,,,,,,
"","","","","an acre",,,,,,,
"","","","","a square mile",,,,,,,
"","","","","a cubic",,,,,,,
"","","","","foot",,,,,,,
"","","","","a register ton",,,,,,,
"","","","","a pint",,,,,,,
"","","","","a quart",,,,,,,
"","","","","a gallon",,,,,,,
"","","","","a bushel",,,,,,,
"","","","","avoirdupois",,,,,,,
"","","","","an ounce",,,,,,,
"","","","","a pound",,,,,,,
"","","","","a stone",,,,,,,
"","","","","a hundredweight",,,,,,,
"","","","","a",,,,,,,
"","","","","ton",,,,,,,
"","","","","breadth",,,,,,,
"","","","","burden",,,,,,,
"","","","","contents",,,,,,,
"","","","","capacity",,,,,,,
"","","","","to enlarge",,,,,,,
"","","","","to",,,,,,,
"","","","","widen",,,,,,,
"","","","","to deepen",,,,,,,
"","","","","to shorten",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","3. Amounts",,,,,,,
"","","","","----------",,,,,,,
"","","","","",,,,,,,
"","","","","Basics:",,,,,,,
"","","","","barrel",,,,,,,
"","","","","basin",,,,,,,
"","","","","basket",,,,,,,
"","","","","bottle",,,,,,,
"","","","","bowl",,,,,,,
"","","","","box",,,,,,,
"","","","","capital",,,,,,,
"","","","","debt",,,,,,,
"","","","","division",,,,,,,
"","","","","gift",,,,,,,
"","","","","interests",,,,,,,
"","","","","lot",,,,,,,
"","","","","mass",,,,,,,
"","","","","means",,,,,,,
"","","","","part",,,,,,,
"","","","","plenty",,,,,,,
"","","","","price",,,,,,,
"","","","","profit",,,,,,,
"","","","","quantity",,,,,,,
"","","","","savings",,,,,,,
"","","","","space",,,,,,,
"","","","","value",,,,,,,
"","","","","worth -- to",,,,,,,
"","","","","class",,,,,,,
"","","","","to deal",,,,,,,
"","","","","to distribute",,,,,,,
"","","","","to gain",,,,,,,
"","","","","to gather",,,,,,,
"","","","","to give",,,,,,,
"","","","","to increase",,,,,,,
"","","","","to leave",,,,,,,
"","","","","to lend",,,,,,,
"","","","","to lose",,,,,,,
"","","","","to receive",,,,,,,
"","","","","to",,,,,,,
"","","","","reduce",,,,,,,
"","","","","to rise",,,,,,,
"","","","","to ruin -- entirely.",,,,,,,
"","","","","",,,,,,,
"","","","","Additional vocabulary:",,,,,,,
"","","","","proportion/mixture",,,,,,,
"","","","","trifle",,,,,,,
"","","","","gap",,,,,,,
"","","","","to deprive s.o. of s.th.",,,,,,,
"","","","","to lower",,,,,,,
"","","","","to diminish",,,,,,,
"","","","","to consume",,,,,,,
"","","","","to contribute (to)",,,,,,,
"","","","","to",,,,,,,
"","","","","heap up",,,,,,,
"","","","","sufficient",,,,,,,
"","","","","grave",,,,,,,
"","","","","extremely/compeletely",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","II. TIME",,,,,,,
"","","","",#ERROR!,,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","4. Points in and spaces of time",,,,,,,
"","","","","-------------------------------",,,,,,,
"","","","","",,,,,,,
"","","","","Basics:",,,,,,,
"","","","","age",,,,,,,
"","","","","birth",,,,,,,
"","","","","century",,,,,,,
"","","","","date",,,,,,,
"","","","","death",,,,,,,
"","","","","evening",,,,,,,
"","","","","future",,,,,,,
"","","","","holiday",,,,,,,
"","","","","moment",,,,,,,
"","","","","morning",,,,,,,
"","","","","past",,,,,,,
"","","","","presence",,,,,,,
"","","","","silence",,,,,,,
"","","","","time",,,,,,,
"","","","","year",,,,,,,
"","","","","youth",,,,,,,
"","","","","-- to begin",,,,,,,
"","","","","to fade",,,,,,,
"","","","","to hurry",,,,,,,
"","","","","to last",,,,,,,
"","","","","to pass -- ago",,,,,,,
"","","","","ancient",,,,,,,
"","","","","due",,,,,,,
"","","","","early",,,,,,,
"","","","","former",,,,,,,
"","","","","future",,,,,,,
"","","","","immediate",,,,,,,
"","","","","late",,,,,,,
"","","","","original",,,,,,,
"","","","","present",,,,,,,
"","","","","regular",,,,,,,
"","","","","up-to-date",,,,,,,
"","","","","young -- after",,,,,,,
"","","","","afterwards",,,,,,,
"","","","","all of a sudden",,,,,,,
"","","","","already",,,,,,,
"","","","","at first",,,,,,,
"","","","","again",,,,,,,
"","","","","finally",,,,,,,
"","","","","gradually",,,,,,,
"","","","","immediately",,,,,,,
"","","","","now",,,,,,,
"","","","","sometimes",,,,,,,
"","","","","soon",,,,,,,
"","","","","then",,,,,,,
"","","","","till",,,,,,,
"","","","","when.",,,,,,,
"","","","","",,,,,,,
"","","","","Additional vocabulary:",,,,,,,
"","","","","period",,,,,,,
"","","","","duration",,,,,,,
"","","","","eternity",,,,,,,
"","","","","present",,,,,,,
"","","","","instant",,,,,,,
"","","","","posterity",,,,,,,
"","","","","childhood/old age",,,,,,,
"","","","","to elapse",,,,,,,
"","","","","to linger",,,,,,,
"","","","","to cease",,,,,,,
"","","","","to",,,,,,,
"","","","","resume",,,,,,,
"","","","","durable/eternal",,,,,,,
"","","","","primitive",,,,,,,
"","","","","constant",,,,,,,
"","","","","instantaneous",,,,,,,
"","","","","simultaneously",,,,,,,
"","","","","instantly",,,,,,,
"","","","","previously",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","5. Calendar",,,,,,,
"","","","","-----------",,,,,,,
"","","","","",,,,,,,
"","","","","Basics:",,,,,,,
"","","","","April",,,,,,,
"","","","","August",,,,,,,
"","","","","autumn",,,,,,,
"","","","","century",,,,,,,
"","","","","Christmas",,,,,,,
"","","","","day",,,,,,,
"","","","","December",,,,,,,
"","","","","Easter",,,,,,,
"","","","","February",,,,,,,
"","","","","Friday",,,,,,,
"","","","","holiday",,,,,,,
"","","","","January",,,,,,,
"","","","","June",,,,,,,
"","","","","July",,,,,,,
"","","","","March",,,,,,,
"","","","","May",,,,,,,
"","","","","Monday",,,,,,,
"","","","","month",,,,,,,
"","","","","moon",,,,,,,
"","","","","November",,,,,,,
"","","","","October",,,,,,,
"","","","","Saturday",,,,,,,
"","","","","September",,,,,,,
"","","","","spring",,,,,,,
"","","","","summer",,,,,,,
"","","","","sun",,,,,,,
"","","","","Sunday",,,,,,,
"","","","","Tuesday",,,,,,,
"","","","","Thursday",,,,,,,
"","","","","Wednesday",,,,,,,
"","","","","week",,,,,,,
"","","","","winter",,,,,,,
"","","","","year -- always",,,,,,,
"","","","","today",,,,,,,
"","","","","tomorrow",,,,,,,
"","","","","tonight",,,,,,,
"","","","","yesterday.",,,,,,,
"","","","","",,,,,,,
"","","","","Additional vocabulary:",,,,,,,
"","","","","calendar",,,,,,,
"","","","","working-day",,,,,,,
"","","","","week-day",,,,,,,
"","","","","leap-year",,,,,,,
"","","","","decade",,,,,,,
"","","","","birthday",,,,,,,
"","","","","Whitsuntide (Pentecoste)",,,,,,,
"","","","","dusk",,,,,,,
"","","","","dawn",,,,,,,
"","","","","twilight",,,,,,,
"","","","","a",,,,,,,
"","","","","fortnight",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","6. Time",,,,,,,
"","","","","Clock",,,,,,,
"","","","","--------------",,,,,,,
"","","","","",,,,,,,
"","","","","Basics:",,,,,,,
"","","","","afternoon",,,,,,,
"","","","","clock",,,,,,,
"","","","","day",,,,,,,
"","","","","evening",,,,,,,
"","","","","hour",,,,,,,
"","","","","minute",,,,,,,
"","","","","moment",,,,,,,
"","","","","morning",,,,,,,
"","","","","night",,,,,,,
"","","","","quarter",,,,,,,
"","","","","watch -- to advance",,,,,,,
"","","","","to ring",,,,,,,
"","","","","to",,,,,,,
"","","","","stop -- exact",,,,,,,
"","","","","fast",,,,,,,
"","","","","late",,,,,,,
"","","","","quick",,,,,,,
"","","","","slow -- in the afternoon",,,,,,,
"","","","","always",,,,,,,
"","","","","this evening",,,,,,,
"","","","","again.",,,,,,,
"","","","","",,,,,,,
"","","","","Additional vocabulary:",,,,,,,
"","","","","alarm-clock",,,,,,,
"","","","","(wrist-)watch",,,,,,,
"","","","","dial",,,,,,,
"","","","","long/short hand",,,,,,,
"","","","","sun-dial",,,,,,,
"","","","","forenoon",,,,,,,
"","","","","quarter of an hour",,,,,,,
"","","","","half an hour",,,,,,,
"","","","","to put back",,,,,,,
"","","","","a.m./p.m.",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","III. Outer Space",,,,,,,
"","","","","----------------",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","7. Space and Sky",,,,,,,
"","","","","",,,,,,,
"","","","","Basics:",,,,,,,
"","","","","air",,,,,,,
"","","","","cloud",,,,,,,
"","","","","distance",,,,,,,
"","","","","earth",,,,,,,
"","","","","east",,,,,,,
"","","","","echo",,,,,,,
"","","","","form",,,,,,,
"","","","","heaven",,,,,,,
"","","","","height",,,,,,,
"","","","","limit",,,,,,,
"","","","","line",,,,,,,
"","","","","material",,,,,,,
"","","","","middle",,,,,,,
"","","","","north",,,,,,,
"","","","","shadow",,,,,,,
"","","","","shape",,,,,,,
"","","","","sky",,,,,,,
"","","","","south",,,,,,,
"","","","","space",,,,,,,
"","","","","star",,,,,,,
"","","","","sun",,,,,,,
"","","","","surface",,,,,,,
"","","","","temperature",,,,,,,
"","","","","turn",,,,,,,
"","","","","west",,,,,,,
"","","","","world -- to appear",,,,,,,
"","","","","to light up",,,,,,,
"","","","","to slow up",,,,,,,
"","","","","to",,,,,,,
"","","","","turn -- bright",,,,,,,
"","","","","clear",,,,,,,
"","","","","high",,,,,,,
"","","","","long",,,,,,,
"","","","","natural.",,,,,,,
"","","","","",,,,,,,
"","","","","Additional vocabulary:",,,,,,,
"","","","","darnkness",,,,,,,
"","","","","new/full moon",,,,,,,
"","","","","waxing/waining moon",,,,,,,
"","","","","crescent",,,,,,,
"","","","","sunbeam",,,,,,,
"","","","","eclipse of the sun/moon",,,,,,,
"","","","","sunshine",,,,,,,
"","","","","fixed star",,,,,,,
"","","","","planet",,,,,,,
"","","","","shooting star",,,,,,,
"","","","","the milky way",,,,,,,
"","","","","celestial body",,,,,,,
"","","","","pole-star",,,,,,,
"","","","","Charles's wain/The Great Bear",,,,,,,
"","","","","to beam/dazzle",,,,,,,
"","","","","to revolve (round)",,,,,,,
"","","","","to illuminate",,,,,,,
"","","","","to gleam",,,,,,,
"","","","","blazing",,,,,,,
"","","","","(in)visible",,,,,,,
"","","","","sunburnt",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","8. Weather",,,,,,,
"","","","","----------",,,,,,,
"","","","","",,,,,,,
"","","","","Basics:",,,,,,,
"","","","","air",,,,,,,
"","","","","blast",,,,,,,
"","","","","cold",,,,,,,
"","","","","degre",,,,,,,
"","","","","drop",,,,,,,
"","","","","fog",,,,,,,
"","","","","heat",,,,,,,
"","","","","ice",,,,,,,
"","","","","rain",,,,,,,
"","","","","shower",,,,,,,
"","","","","snow",,,,,,,
"","","","","temperature",,,,,,,
"","","","","thunder",,,,,,,
"","","","","weather",,,,,,,
"","","","","wind -- to blow",,,,,,,
"","","","","to",,,,,,,
"","","","","change",,,,,,,
"","","","","to fall",,,,,,,
"","","","","to melt",,,,,,,
"","","","","to rain",,,,,,,
"","","","","to warm",,,,,,,
"","","","","to whistle --",,,,,,,
"","","","","bad",,,,,,,
"","","","","clear",,,,,,,
"","","","","cold",,,,,,,
"","","","","dark",,,,,,,
"","","","","dry",,,,,,,
"","","","","ffine",,,,,,,
"","","","","fresh",,,,,,,
"","","","","hot",,,,,,,
"","","","","rainy",,,,,,,
"","","","","violent",,,,,,,
"","","","","warm",,,,,,,
"","","","","wet.",,,,,,,
"","","","","",,,,,,,
"","","","","Additional vocabulary:",,,,,,,
"","","","","thermometer",,,,,,,
"","","","","barometer",,,,,,,
"","","","","atmospheric pressure",,,,,,,
"","","","","climate",,,,,,,
"","","","","the",,,,,,,
"","","","","tropics",,,,,,,
"","","","","whirlwind",,,,,,,
"","","","","snow-storm/-flake",,,,,,,
"","","","","hurricane",,,,,,,
"","","","","weather-forecast/-chart",,,,,,,
"","","","","moisture",,,,,,,
"","","","","dew",,,,,,,
"","","","","thunderstorm/-clap",,,,,,,
"","","","","hail",,,,,,,
"","","","","frost/hoar-frost",,,,,,,
"","","","","heat wave/cold spell",,,,,,,
"","","","","mist",,,,,,,
"","","","","raindrop/rainbow",,,,,,,
"","","","","cloudburst",,,,,,,
"","","","","thaw",,,,,,,
"","","","","drought",,,,,,,
"","","","","to splash/to",,,,,,,
"","","","","trickle",,,,,,,
"","","","","to rage",,,,,,,
"","","","","to howl",,,,,,,
"","","","","to shiver",,,,,,,
"","","","","to soak",,,,,,,
"","","","","stormy",,,,,,,
"","","","","changeable/unsettled",,,,,,,
"","","","","foggy",,,,,,,
"","","","","chilly",,,,,,,
"","","","","sultry",,,,,,,
"","","","","moist",,,,,,,
"","","","","damp",,,,,,,
"","","","","overcast",,,,,,,
"","","","","hazy",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","9. Geography and Geology",,,,,,,
"","","","","------------------------",,,,,,,
"","","","","",,,,,,,
"","","","","Basics:",,,,,,,
"","","","","bank",,,,,,,
"","","","","bay",,,,,,,
"","","","","capital",,,,,,,
"","","","","coal",,,,,,,
"","","","","colony",,,,,,,
"","","","","commerce",,,,,,,
"","","","","cotton",,,,,,,
"","","","","country",,,,,,,
"","","","","course",,,,,,,
"","","","","crossign",,,,,,,
"","","","","discovery",,,,,,,
"","","","","district",,,,,,,
"","","","","earth",,,,,,,
"","","","","gold",,,,,,,
"","","","","grass",,,,,,,
"","","","","ground",,,,,,,
"","","","","growth",,,,,,,
"","","","","hill",,,,,,,
"","","","","hole",,,,,,,
"","","","","iron",,,,,,,
"","","","","island",,,,,,,
"","","","","land",,,,,,,
"","","","","length",,,,,,,
"","","","","life",,,,,,,
"","","","","map",,,,,,,
"","","","","mark",,,,,,,
"","","","","market",,,,,,,
"","","","","merchant",,,,,,,
"","","","","metal",,,,,,,
"","","","","mine",,,,,,,
"","","","","mountian",,,,,,,
"","","","","mouth",,,,,,,
"","","","","mud",,,,,,,
"","","","","nation",,,,,,,
"","","","","native",,,,,,,
"","","","","neighbour",,,,,,,
"","","","","ocean",,,,,,,
"","","","","origin",,,,,,,
"","","","","outline",,,,,,,
"","","","","passage",,,,,,,
"","","","","path",,,,,,,
"","","","","people",,,,,,,
"","","","","plain",,,,,,,
"","","","","plant",,,,,,,
"","","","","poool",,,,,,,
"","","","","rail",,,,,,,
"","","","","range",,,,,,,
"","","","","sand",,,,,,,
"","","","","settlement",,,,,,,
"","","","","slope",,,,,,,
"","","","","soil",,,,,,,
"","","","","spring",,,,,,,
"","","","","square",,,,,,,
"","","","","state",,,,,,,
"","","","","station",,,,,,,
"","","","","stone",,,,,,,
"","","","","stream",,,,,,,
"","","","","street",,,,,,,
"","","","","trade",,,,,,,
"","","","","traffic",,,,,,,
"","","","","valley",,,,,,,
"","","","","voyage",,,,,,,
"","","","","water",,,,,,,
"","","","","way -- to cover",,,,,,,
"","","","","to extend",,,,,,,
"","","","","to",,,,,,,
"","","","","flood",,,,,,,
"","","","","to flow",,,,,,,
"","","","","to form",,,,,,,
"","","","","to grow",,,,,,,
"","","","","to separate",,,,,,,
"","","","","to shake",,,,,,,
"","","","","to",,,,,,,
"","","","","stretch",,,,,,,
"","","","","to surround -- broad",,,,,,,
"","","","","clear",,,,,,,
"","","","","commercial",,,,,,,
"","","","","deep",,,,,,,
"","","","","high",,,,,,,
"","","","","local",,,,,,,
"","","","","low",,,,,,,
"","","","","native",,,,,,,
"","","","","plain",,,,,,,
"","","","","pure",,,,,,,
"","","","","rare -- across",,,,,,,
"","","","","anywhere apart",,,,,,,
"","","","","around",,,,,,,
"","","","","aside",,,,,,,
"","","","","away",,,,,,,
"","","","","backwards",,,,,,,
"","","","","behind",,,,,,,
"","","","","below",,,,,,,
"","","","","beneath",,,,,,,
"","","","","near",,,,,,,
"","","","","next",,,,,,,
"","","","","nowhere",,,,,,,
"","","","","over.",,,,,,,
"","","","","",,,,,,,
"","","","","Additional vocabulary:",,,,,,,
"","","","","continent mainland",,,,,,,
"","","","","hemisphere",,,,,,,
"","","","","north/south pole",,,,,,,
"","","","","equator",,,,,,,
"","","","","horizon",,,,,,,
"","","","","summit",,,,,,,
"","","","","ridge",,,,,,,
"","","","","pass",,,,,,,
"","","","","gorge",,,,,,,
"","","","","landslip",,,,,,,
"","","","","glacier",,,,,,,
"","","","","lake",,,,,,,
"","","","","canal",,,,,,,
"","","","","cave",,,,,,,
"","","","","pasture",,,,,,,
"","","","","heath",,,,,,,
"","","","","highlands",,,,,,,
"","","","","plateau",,,,,,,
"","","","","boulder",,,,,,,
"","","","","volcano",,,,,,,
"","","","","eruption",,,,,,,
"","","","","marsh",,,,,,,
"","","","","bog",,,,,,,
"","","","","swamp",,,,,,,
"","","","","whirlpool",,,,,,,
"","","","","eddy",,,,,,,
"","","","","stagnant water",,,,,,,
"","","","","earthquake",,,,,,,
"","","","","waterfall",,,,,,,
"","","","","clearing",,,,,,,
"","","","","oasis",,,,,,,
"","","","","dike/dam",,,,,,,
"","","","","straits",,,,,,,
"","","","","beach",,,,,,,
"","","","","gulf",,,,,,,
"","","","","the tides",,,,,,,
"","","","","low/high",,,,,,,
"","","","","tide",,,,,,,
"","","","","breakers",,,,,,,
"","","","","isthmus",,,,,,,
"","","","","sluice",,,,,,,
"","","","","ock",,,,,,,
"","","","","inundation",,,,,,,
"","","","","cliff",,,,,,,
"","","","","sand-bank",,,,,,,
"","","","","promontory",,,,,,,
"","","","","brook",,,,,,,
"","","","","affluent",,,,,,,
"","","","","tributary",,,,,,,
"","","","","watershed",,,,,,,
"","","","","divide",,,,,,,
"","","","","ford",,,,,,,
"","","","","to submerge",,,,,,,
"","","","","to overflow",,,,,,,
"","","","","to be",,,,,,,
"","","","","outlined against",,,,,,,
"","","","","to burst forth",,,,,,,
"","","","","steep",,,,,,,
"","","","","shallow",,,,,,,
"","","","","extinct",,,,,,,
"","","","","earthly",,,,,,,
"","","","","earthen",,,,,,,
"","","","","marshy",,,,,,,
"","","","","boggy",,,,,,,
"","","","","swampy",,,,,,,
"","","","","muddy",,,,,,,
"","","","","Europe (European)",,,,,,,
"","","","","Germany (German)",,,,,,,
"","","","","the United Kingdom of",,,,,,,
"","","","","Great Britain and Northern Ireland (British)",,,,,,,
"","","","","England",,,,,,,
"","","","","(English)",,,,,,,
"","","","","Ireland (Irish)",,,,,,,
"","","","","Scotland (Scottish",,,,,,,
"","","","","Scotch)",,,,,,,
"","","","","Wales (Welsh)",,,,,,,
"","","","","Austria (Austrian)",,,,,,,
"","","","","Belgium (Belgian)",,,,,,,
"","","","","Spain",,,,,,,
"","","","","(Spanish)",,,,,,,
"","","","","France (French)",,,,,,,
"","","","","Italy (Italian)",,,,,,,
"","","","","the",,,,,,,
"","","","","U.S.S.R/the Soviet Union (Soviet-(Russian))",,,,,,,
"","","","","Switzerland",,,,,,,
"","","","","(Swiss)",,,,,,,
"","","","","the Netherlands (Dutch)",,,,,,,
"","","","","Sweden (Swedish)",,,,,,,
"","","","","Denmark",,,,,,,
"","","","","(Danish)",,,,,,,
"","","","","Norway (Norwegian)",,,,,,,
"","","","","Greece (Greek)",,,,,,,
"","","","","Africa",,,,,,,
"","","","","(African)",,,,,,,
"","","","","Asia (Asian)",,,,,,,
"","","","","China (Chinese)",,,,,,,
